datetime,"price BTC-USD"
2017-05-09T00:00:00+00:00,1554.38
2017-05-10T00:00:00+00:00,1616.05
2017-05-11T00:00:00+00:00,1682
2017-05-12T00:00:00+00:00,1703.5192755609
2017-05-13T00:00:00+00:00,1650
2017-05-14T00:00:00+00:00,1601.46
2017-05-15T00:00:00+00:00,1720.1436708308
2017-05-16T00:00:00+00:00,1682.56
2017-05-17T00:00:00+00:00,1641.22
2017-05-18T00:00:00+00:00,1670.01
2017-05-19T00:00:00+00:00,1766.33
2017-05-20T00:00:00+00:00,1874.99
2017-05-21T00:00:00+00:00,1914
2017-05-22T00:00:00+00:00,1961.52
2017-05-23T00:00:00+00:00,2001
2017-05-24T00:00:00+00:00,2088.45
2017-05-25T00:00:00+00:00,2075.0712532469
2017-05-26T00:00:00+00:00,1927.776888586
2017-05-27T00:00:00+00:00,1538.4729475984
2017-05-28T00:00:00+00:00,1846.5315556999
2017-05-29T00:00:00+00:00,1974.7932505348
2017-05-30T00:00:00+00:00,2050.7678659213
2017-05-31T00:00:00+00:00,2006.1218294335
2017-06-01T00:00:00+00:00,2154.28
2017-06-02T00:00:00+00:00,2267.3531706897
2017-06-03T00:00:00+00:00,2343.8124408658
2017-06-04T00:00:00+00:00,2373.3567442582
2017-06-05T00:00:00+00:00,2460
2017-06-06T00:00:00+00:00,2525.28
2017-06-07T00:00:00+00:00,2562.1506162477
2017-06-08T00:00:00+00:00,2559.2796226757
2017-06-09T00:00:00+00:00,2613.13
2017-06-10T00:00:00+00:00,2759.6756663014
2017-06-11T00:00:00+00:00,2783.9268986339
2017-06-12T00:00:00+00:00,2299.8760126112
2017-06-13T00:00:00+00:00,2480.03
2017-06-14T00:00:00+00:00,2270.3572872176
2017-06-15T00:00:00+00:00,2005.2840436036
2017-06-16T00:00:00+00:00,2120
2017-06-17T00:00:00+00:00,2307.66
2017-06-18T00:00:00+00:00,2408.0067557422
2017-06-19T00:00:00+00:00,2460.62
2017-06-20T00:00:00+00:00,2480.96
2017-06-21T00:00:00+00:00,2535.9906526465
2017-06-22T00:00:00+00:00,2542.576665789
2017-06-23T00:00:00+00:00,2594.61
2017-06-24T00:00:00+00:00,2447.7594351078
2017-06-25T00:00:00+00:00,2357.9665352914
2017-06-26T00:00:00+00:00,2173.345239194
2017-06-27T00:00:00+00:00,2164.1629048914
2017-06-28T00:00:00+00:00,2291
2017-06-29T00:00:00+00:00,2389.9696695388
2017-06-30T00:00:00+00:00,2401.8935016655
2017-07-01T00:00:00+00:00,2283.5015586935
2017-07-02T00:00:00+00:00,2293.9213086266
2017-07-03T00:00:00+00:00,2374.34
2017-07-04T00:00:00+00:00,2472.68
2017-07-05T00:00:00+00:00,2480.0276475409
2017-07-06T00:00:00+00:00,2530.1
2017-07-07T00:00:00+00:00,2423.6163489768
2017-07-08T00:00:00+00:00,2420.9424783668
2017-07-09T00:00:00+00:00,2462
2017-07-10T00:00:00+00:00,2236.5372708027
2017-07-11T00:00:00+00:00,2181.9699993033
2017-07-12T00:00:00+00:00,2191.3170125425
2017-07-13T00:00:00+00:00,2239.54
2017-07-14T00:00:00+00:00,2134.0216930346
2017-07-15T00:00:00+00:00,1971.2059293658
2017-07-16T00:00:00+00:00,1829.9073887481
2017-07-17T00:00:00+00:00,1830
2017-07-18T00:00:00+00:00,1910.57
2017-07-19T00:00:00+00:00,2164
2017-07-20T00:00:00+00:00,2223
